Date,Avoider,Type of Avoid,Avoided
1/11/18,AF,agg2,WR
1/11/18,BQ,agg3,KQ
1/11/18,HD,agg2,YR
1/11/18,IE,s,YO
1/11/18,IR,agg3,PA
1/11/18,IR,agg2,PA
1/11/18,KQ,agg2,BQ
1/11/18,PG,fd,II
1/11/18,QS,agg2,AXAZ2
1/11/18,TL,fd,YR
1/11/18,TN,agg2,WR
1/12/18,DO,agg2,IF
1/12/18,IF,s,HA
1/12/18,JM,agg3,IF
1/12/18,JR,agg2,HA
1/12/18,ML,agg3,WQ
1/12/18,ML,agg2,WR
1/12/18,MVJR2,agg2,IQ
1/12/18,PA,fd,HA
1/12/18,TUCU2,agg2,TN
1/12/18,WQ,agg2,ML
1/12/18,WQ,agg2,WR
1/16/18,BHBX,c,TU
1/16/18,CRCO2,s,IE
1/16/18,DO,agg2,PB
1/16/18,DZDS2,s,HC
1/16/18,HC,agg2,GV
1/16/18,II,agg2,IF
1/16/18,II,agg2,DG
1/16/18,JM,agg2,IE
1/16/18,JM,agg2,FF
1/16/18,MLJE2,fd,AR
1/16/18,MRMG2,s,AR
1/16/18,MRMG2,s,HC
1/16/18,PA,agg2,HC
1/16/18,PB,fd,IR
1/16/18,PY,agg2,II
1/16/18,TB,sg,HA
1/16/18,TL,fd,AR
1/16/18,TUCU2,agg2,AL
1/17/18,BHBX,s,MF
1/17/18,BZ,agg2,QS
1/17/18,BZ,agg3,QS
1/17/18,CE,sg,WO
1/17/18,FG,s,YO
1/17/18,GL,agg2,OI
1/17/18,HT,G2,YR
1/17/18,JE2,s,WO
1/17/18,MF,agg3,TN
1/17/18,MF,agg2,ST
1/17/18,MF,agg2,TN
1/17/18,MVJR2,agg2,AL
1/17/18,MVJR2,agg2,IR
1/17/18,PB,fd,HC
1/17/18,PY,s,PB
1/17/18,QE,sg,HD
1/17/18,SS,agg3,ZI
1/17/18,TB,hd2,OI
1/17/18,TL,sg,IG
1/17/18,TN,hd2,WQ
1/17/18,TOFU,agg2,IR
1/17/18,VB,agg2,HC
1/17/18,VI,agg3,TN
1/17/18,VI,agg2,TN
1/17/18,YR,sg,HD
1/18/18,EV,hd2,AR
1/18/18,EV,agg2,AR
1/18/18,GV,agg2,HT
1/18/18,GV,agg3,HT
1/18/18,HL,agg3,PA
1/18/18,HS,agg2,PA
1/18/18,JR,agg2,SS
1/18/18,KT,agg2,GV
1/18/18,PA,agg2,HS
1/18/18,TB,hd2,HJ
1/18/18,VI,agg1,QS
