SUBJECT,SUBJECT_KIN,RELATION
AN2,AF,AUNT
AN2,AH2,COUSIN
AN2,AK2,COUSIN
AN2,AL,MOM
AN2,AL2,SIBLING
AN2,AN,AUNT
AN2,AR,UNCLE
AN2,AT2,SIBLING
AN2,AV2,SIBLING
AN2,AW,UNCLE
AN2,AX,GRANDMA
AN2,AZ2,AUNT
AR,AF,SIBLING
AR,AH2,NEPHEW
AR,AK2,NIECE
AR,AL,SIBLING
AR,AN,SIBLING
AR,AN2,NEPHEW
AR,AT2,NEPHEW
AR,AV2,NIECE
AR,AW,SIBLING
AR,AX,MOM
AR,AZ2,SIBLING
BS,BC2,SIBLING
BS,BH,MOM
BS,BK,SIBLING
BS,BQ,SIBLING
BS,BR2,NEPHEW
BS,BX,SIBLING
BS,BZ,SIBLING
BX,BC2,SIBLING
BX,BH,MOM
BX,BK,SIBLING
BX,BQ,SIBLING
BX,BR2,NEPHEW
BX,BZ,SIBLING
BZ,BC2,SIBLING
BZ,BH,MOM
BZ,BK,SIBLING
BZ,BQ,SIBLING
BZ,BR2,NEPHEW
BZ,BX,SIBLING
CA,TL,MOM
CA,CQ,SIBLING
CA,TT,SIBLING
CA,TU2,NEPHEW
CA,CC,SIBLING
CA,CW2,NIECE
CA,CF,SIBLING
CA,CF2,SIBLING
CA,CV2,SIBLING
CA,CY2,SIBLING
CA,TV,AUNT
CA,CR,COUSIN
CA,TU,AUNT
CA,CU,COUSIN
CA,CG,COUSIN
CA,CU2,COUSIN
CA,CJ2,COUSIN
CA,CA2,COUSIN
CA,CK2,COUSIN
CG,TU,MOM
CG,CU,SIBLING
CG,CU2,SIBLING
CG,CJ2,SIBLING
CG,CA2,SIBLING
CG,CK2,SIBLING
CG,TL,AUNT
CG,CA,COUSIN
CG,CQ,COUSIN
CG,TT,COUSIN
CG,CC,COUSIN
CG,CF,COUSIN
CG,CF2,COUSIN
CG,CV2,COUSIN
CG,CY2,COUSIN
CG,TV,AUNT
CG,CR,COUSIN
CO2,CR,MOM
CO2,CR2,SIBLING
CO2,CM2,SIBLING
CO2,TV,GRANDMA
CQ,TL,MOM
CQ,CA,SIBLING
CQ,TT,SIBLING
CQ,TU2,NEPHEW
CQ,CC,SIBLING
CQ,CW2,NIECE
CQ,CF,SIBLING
CQ,CF2,SIBLING
CQ,CV2,SIBLING
CQ,CY2,SIBLING
CQ,TU,AUNT
CQ,CU,COUSIN
CQ,CG,COUSIN
CQ,CU2,COUSIN
CQ,CJ2,COUSIN
CQ,CA2,COUSIN
CQ,CK2,COUSIN
CQ,TV,AUNT
CQ,CR,COUSIN
CU,TU,MOM
CU,CG,SIBLING
CU,CU2,SIBLING
CU,CJ2,SIBLING
CU,CA2,SIBLING
CU,CK2,SIBLING
CU,TL,AUNT
CU,CA,COUSIN
CU,CQ,COUSIN
CU,TT,COUSIN
CU,CC,COUSIN
CU,CF,COUSIN
CU,CF2,COUSIN
CU,CV2,COUSIN
CU,CY2,COUSIN
CU,TV,AUNT
CU,CR,COUSIN
DC,DZ,MOM
DC,DU,SIBLING
DC,DG,SIBLING
DC,DS,SIBLING
DC,DS2,SIBLING
DC,DQ2,SIBLING
DC,DO,NIECE
DC,DL2,NIECE
DC,UM,NEPHEW
DC,DA2,NIECE
DC,DT2,NIECE
DC,DH2,NIECE
DC,DF2,NIECE
DG,DZ,MOM
DG,DU,SIBLING
DG,DC,SIBLING
DG,DS,SIBLING
DG,DS2,SIBLING
DG,DQ2,SIBLING
DG,DO,NIECE
DG,DL2,NIECE
DG,UM,NEPHEW
DG,DA2,NIECE
DG,DT2,NIECE
DG,DH2,NIECE
DG,DF2,NIECE
ET2,EA,MOM
ET2,EM2,SIBLING
ET2,EV,AUNT
ET2,ED2,COUSIN
ET2,EY,AUNT
ET2,EX,COUSIN
ET2,EU2,COUSIN
ET2,EO2,COUSIN
EX,EY,MOM
EX,EU2,SIBLING
EX,EO2,SIBLING
EX,EA,AUNT
EX,ET2,COUSIN
EX,EM2,COUSIN
EX,EV,AUNT
EX,ED2,COUSIN
FA,TO,MOM
FA,FD,SIBLING
FA,FF,SIBLING
FA,FG,SIBLING
