Troop,Date,OBS,Avoider,Infant ID Avoider,Type of Avoid,Avoided,Infant ID Avoided,Notes,Entered By,Column1
NMU,2018-01-11,BLM,HD,,agg2,YR,,,,
NMU,2018-01-11,BLM,BQ,,agg3,KQ,,,,
NMU,2018-01-11,BLM,KQ,,agg2,BQ,,,,
NMU,2018-01-11,BLM,TN,,agg2,WR,,,,
NMU,2018-01-11,BLM,AF,,agg2,WR,,,,
NMU,2018-01-11,BLM,IR,,agg3,PA,,,,
NMU,2018-01-11,BLM,IR,,agg2,PA,,,,
NMU,2018-01-11,BLM,IE,,s,YO,,,,
NMU,2018-01-11,BLM,TL,,fd,YR,,,,
NMU,2018-01-11,BLM,PG,,fd,II,,,,
NMU,2018-01-11,BLM,QS,,agg2,AX,AZ2,,,
NMU,2018-01-12,BLM,ML,,agg3,WQ,,,,
NMU,2018-01-12,BLM,WQ,,agg2,ML,,,,
NMU,2018-01-12,BLM,ML,,agg2,WR,,,,
NMU,2018-01-12,BLM,WQ,,agg2,WR,,,,
NMU,2018-01-12,BLM,DO,,agg2,IF,,,,
NMU,2018-01-12,BLM,PA,,fd,HA,,,,
NMU,2018-01-12,BLM,JM,,agg3,IF,,,,
NMU,2018-01-12,BLM,IF,,s,HA,,,,
NMU,2018-01-12,BLM,DO,,agg2,IF,,,,
NMU,2018-01-12,BLM,JR,,agg2,HA,,,,
NMU,2018-01-12,BLM,MV,JR2,agg2,IQ,,,,
NMU,2018-01-12,BLM,TU,CU2,agg2,TN,,,,
NMU,2018-01-16,BLM,JM,,agg2,IE,,,,
NMU,2018-01-16,BLM,TL,,fd,AR,,,,
NMU,2018-01-16,BLM,DO,,agg2,PB,,,,
NMU,2018-01-16,BLM,PY,,agg2,II,,,,
NMU,2018-01-16,BLM,II,,agg2,IF,,,,
NMU,2018-01-16,BLM,HC,,agg2,GV,,,,
NMU,2018-01-16,BLM,PA,,agg2,HC,,,,
NMU,2018-01-16,BLM,TB,,sg,HA,,,,
NMU,2018-01-16,BLM,JM,,agg2,FF,,,,
NMU,2018-01-16,BLM,PB,,fd,IR,,,,
NMU,2018-01-16,BLM,II,,agg2,DG,,,,
NMU,2018-01-16,BLM,BH,BX,c,TU,,,,
NMU,2018-01-16,BLM,CR,CO2,s,IE,,,,
NMU,2018-01-16,BLM,DZ,DS2,s,HC,,,,
NMU,2018-01-16,BLM,ML,JE2,fd,AR,,,,
NMU,2018-01-16,BLM,MR,MG2,s,AR,,,,
NMU,2018-01-16,BLM,MR,MG2,s,HC,,,,
NMU,2018-01-16,BLM,TU,CU2,agg2,AL,,,,
NMU,2018-01-17,FRM,YR,,sg,HD,,,,
NMU,2018-01-17,FRM,QE,,sg,HD,,,,
NMU,2018-01-17,FRM,TB,,hd2,OI,,,,
NMU,2018-01-17,FRM,JE2,,s,WO,,,,
NMU,2018-01-17,FRM,HT,,G2,YR,,,,
NMU,2018-01-17,FRM,TL,,sg,IG,,,,
NMU,2018-01-17,FRM,FG,,s,YO,,,,
NMU,2018-01-17,FRM,BZ,,agg2,QS,,,,
NMU,2018-01-17,FRM,SS,,agg3,ZI,,,,
NMU,2018-01-17,FRM,MF,,agg3,TN,,,,
NMU,2018-01-17,FRM,MF,,agg2,ST,,,,
NMU,2018-01-17,BLM,BZ,,agg3,QS,,,,
NMU,2018-01-17,BLM,SS,,agg3,ZI,,,,
NMU,2018-01-17,BLM,VI,,agg3,TN,,,,
NMU,2018-01-17,BLM,VI,,agg2,TN,,,,
NMU,2018-01-17,BLM,MF,,agg2,TN,,,,
NMU,2018-01-17,BLM,PY,,s,PB,,,,
NMU,2018-01-17,BLM,PB,,fd,HC,,,,
NMU,2018-01-17,BLM,GL,,agg2,OI,,,,
NMU,2018-01-17,BLM,CE,,sg,WO,,,,
NMU,2018-01-17,BLM,TN,,hd2,WQ,,,,
NMU,2018-01-17,BLM,VB,,agg2,HC,,,,
NMU,2018-01-17,BLM,BH,BX,s,MF,,,,
NMU,2018-01-17,BLM,MV,JR2,agg2,AL,,,,
NMU,2018-01-17,BLM,MV,JR2,agg2,IR,,,,
NMU,2018-01-17,BLM,TO,FU,agg2,IR,,,,
NMU,2018-01-18,FRM,KT,,agg2,GV,,,,
NMU,2018-01-18,FRM,GV,,agg2,HT,,,,
NMU,2018-01-18,FRM,WQ,,s,GV,,,,
NMU,2018-01-18,FRM,VI,,agg1,QS,,,,
NMU,2018-01-18,FRM,EV,,hd2,AR,,,,
NMU,2018-01-18,FRM,HL,,agg3,PA,,,,
NMU,2018-01-18,FRM,PA,,agg2,HS,,,,
NMU,2018-01-18,FRM,HS,,agg2,PA,,,,
NMU,2018-01-18,BLM,KT,,agg2,GV,,,,
NMU,2018-01-18,BLM,KT,,agg2,GV,,,,
NMU,2018-01-18,BLM,GV,,agg3,HT,,,,
NMU,2018-01-18,BLM,VI,,agg2,QS,,,,
NMU,2018-01-18,BLM,EV,,agg2,AR,,,,
NMU,2018-01-18,BLM,TB,,hd2,HJ,,,,
NMU,2018-01-18,BLM,JR,,agg2,SS,,,,
NMU,2018-01-19,FRM,DZ,,s,TO,,,,
NMU,2018-01-19,FRM,TB,,hd2,OI,,,,
NMU,2018-01-19,FRM,DZ,,s,IQ,,,,
NMU,2018-01-19,FRM,RK,,s,FD,,,,
NMU,2018-01-19,FRM,TL,,agg1,IQ,,,,
NMU,2018-01-19,FRM,MF,,agg1,SR,,,,
NMU,2018-01-19,FRM,PS,,s,NI,,,,
NMU,2018-01-19,FRM,KJ,,s,TL,,,,
NMU,2018-01-19,FRM,OI,,s,HD,,,,
NMU,2018-01-19,FRM,CE,,s,HD,,,,
NMU,2018-01-19,FRM,JM,,agg2,TL,,,,
NMU,2018-01-19,FRM,DZ,,s,HL,,,,
NMU,2018-01-19,FRM,VI,,agg1,PY,,,,
NMU,2018-01-19,FRM,CE,,s,NI,,,,
NMU,2018-01-19,BLM,TE,,agg2,IR,,,,
NMU,2018-01-19,BLM,AF,,agg2,SS,,,,
NMU,2018-01-19,BLM,SS,,agg3,IR,,,,
NMU,2018-01-19,BLM,AX,AZ2,s,IQ,,,,
NMU,2018-01-19,BLM,MV,JR2,s,HL,PS,,,
NMU,2018-01-19,BLM,KT,KJ,agg2,PA,,,,
NMU,2018-01-20,FRM,WR,,agg2,OI,,,,
NMU,2018-01-20,FRM,DG,,s,WY,,,,
NMU,2018-01-20,FRM,TB,,agg2,TL,,,,
NMU,2018-01-20,FRM,CU,,s,TO,,,,
NMU,2018-01-20,FRM,II,,agg1,HS,,,,
NMU,2018-01-20,FRM,KT,,s,NI,,,,
NMU,2018-01-20,FRM,RK,,agg1,AR,,,,
NMU,2018-01-20,FRM,TO,,s,HD,,,,
NMU,2018-01-20,FRM,FF,,hd2,HD,,,,
NMU,2018-01-20,FRM,JM,,hd2,GV,,,,
NMU,2018-01-20,FRM,TL,,hd1,HT,,,,
NMU,2018-01-20,FRM,EV,,hd2,HD,,,,
NMU,2018-01-20,FRM,JR,,agg1,NI,,,,
NMU,2018-01-20,FRM,EY,,s,FD,,,,
NMU,2018-01-20,FRM,EA,,agg1,FD,,,,
NMU,2018-01-20,BLM,PY,,agg3,IF,,,,
NMU,2018-01-20,BLM,TW,,s,OI,,,,
NMU,2018-01-20,BLM,FF,,hd2,HD,,,,
NMU,2018-01-20,BLM,RK,,agg2,HA,,,,
NMU,2018-01-20,BLM,KQ,,agg2,YO,,,,
NMU,2018-01-20,BLM,DC,,agg2,OI,,,,
NMU,2018-01-20,BLM,DC,,agg3,IR,,,,
NMU,2018-01-20,BLM,JM,,agg2,HC,,,,
NMU,2018-01-20,BLM,PY,,agg3,EZ,,,,
NMU,2018-01-20,BLM,EZ,,agg2,PY,,,,
NMU,2018-01-20,BLM,TN,,hd2,DG,,,,
NMU,2018-01-20,BLM,BH,BX,sg,AR,,,,
NMU,2018-01-20,BLM,KT,KJ,s,OI,,,,
