date,winner,loser,draw
2018-04-05,HS,AR,FALSE
2018-04-05,HS,AR,FALSE
2018-04-05,HS,AR,FALSE
2018-04-06,HD,AR,FALSE
2018-04-06,YR,EQ,FALSE
2018-04-07,MA,IR,FALSE
2018-04-07,MA,IR,FALSE
2018-04-07,HS,IY,FALSE
2018-04-07,YR,IY,FALSE
2018-04-07,HS,MA,FALSE
2018-04-07,YR,YO,FALSE
2018-04-09,YR,PA,FALSE
2018-04-09,GV,PU,FALSE
2018-04-09,YR,PU,FALSE
2018-04-10,WY,NW,FALSE
2018-04-10,YU,NW,FALSE
2018-04-10,YR,PU,FALSE
2018-04-10,YU,ST,FALSE
2018-04-11,HD,MA,FALSE
2018-04-11,IR,MA,FALSE
2018-04-11,IR,MA,FALSE
2018-04-13,HD,YO,FALSE
2018-04-14,WR,HJ,FALSE
2018-04-14,HS,MA,FALSE
2018-04-14,YU,PU,FALSE
2018-04-17,OI,CE,FALSE
2018-04-17,HS,EQ,FALSE
2018-04-17,HD,NW,FALSE
2018-04-17,WO,OI,FALSE
2018-04-17,OI,PU,FALSE
2018-04-17,OI,WO,FALSE
2018-04-18,YR,HC,FALSE
2018-04-19,WR,WO,FALSE
2018-04-20,NI,YR,FALSE
2018-04-21,AR,IR,FALSE
2018-04-21,OI,NW,FALSE
2018-04-23,JO,EQ,FALSE
2018-04-23,HS,GL,FALSE
2018-04-23,WY,MA,FALSE
2018-04-23,HS,NI,FALSE
2018-04-26,PU,NW,FALSE
2018-04-28,HS,FD,FALSE
2018-04-28,YR,PA,FALSE
2018-04-28,NI,YR,FALSE
2018-04-30,WY,AR,FALSE
2018-04-30,WY,AR,FALSE
2018-05-01,WQ,BS,FALSE
2018-05-01,NP,GL,FALSE
2018-05-01,HD,NW,FALSE
2018-05-02,NP,GL,FALSE
2018-05-03,HT,GV,FALSE
2018-05-03,EQ,HD,FALSE
2018-05-03,NQ,NW,FALSE
2018-05-04,OI,HJ,FALSE
2018-05-04,HD,WQ,FALSE
2018-05-05,HC,GL,FALSE
2018-05-05,HD,WQ,FALSE
2018-05-08,JO,WY,FALSE
2018-05-08,JO,YO,FALSE
2018-05-10,YU,BS,FALSE
2018-05-10,PA,GL,FALSE
2018-05-10,PU,IR,FALSE
2018-05-10,MA,WO,FALSE
2018-05-14,ZP,CE,FALSE
2018-05-14,HD,NW,FALSE
2018-05-14,YO,ST,FALSE
2018-05-15,ZP,CE,FALSE
2018-05-15,WQ,GL,FALSE
2018-05-15,WR,NW,FALSE
2018-05-15,HS,WY,FALSE
2018-05-15,AR,ZP,FALSE
2018-05-16,NQ,EQ,FALSE
2018-05-16,OI,IY,FALSE
2018-05-17,YR,AR,FALSE
2018-05-17,NQ,IR,FALSE
2018-05-17,YR,NQ,FALSE
2018-05-17,YU,PU,FALSE
2018-05-17,NQ,YR,FALSE
2018-05-18,YR,AR,FALSE
2018-05-18,GV,ST,FALSE
2018-05-18,GV,ST,FALSE
2018-05-19,WQ,NQ,FALSE
2018-05-23,PA,IR,FALSE
2018-05-23,YU,PU,FALSE
2018-05-24,YU,GL,FALSE
2018-05-25,MA,IY,FALSE
2018-05-25,IR,NW,FALSE
2018-05-25,HD,ST,FALSE
2018-05-25,NI,ST,FALSE
2018-05-26,NI,HC,FALSE
2018-05-28,EQ,HJ,FALSE
2018-05-28,EQ,HJ,FALSE
2018-05-28,HS,MA,FALSE
2018-05-28,HS,NI,FALSE
2018-05-28,NI,PA,FALSE
2018-05-28,WQ,PA,FALSE
2018-05-29,JO,AR,FALSE
2018-05-29,MA,AR,FALSE
2018-05-29,WR,IY,FALSE
2018-05-29,WR,MA,FALSE
2018-05-29,WR,NW,FALSE
2018-05-30,HS,NW,FALSE
2018-05-31,HD,HS,FALSE
2018-05-31,HD,HS,FALSE
2018-05-31,YU,YO,FALSE
2018-06-01,OI,EQ,FALSE
2018-06-01,HJ,HC,FALSE
2018-06-01,NQ,HJ,FALSE
2018-06-01,WY,IR,FALSE
2018-06-02,OI,WY,FALSE
2018-06-07,HJ,GL,FALSE
2018-06-07,WY,HT,FALSE
2018-06-07,GV,MA,FALSE
