Date,avoider,age/sex avoider,type,avoided,age/sex/avoided
2018-01-11,HD,SAM,agg2,YR,SAM
2018-01-11,IR,SAM,agg2,PA,SAM
2018-01-11,IR,SAM,agg3,PA,SAM
2018-01-12,WQ,SAM,agg2,WR,SAM
2018-01-16,HC,SAM,agg2,GV,SAM
2018-01-16,PA,SAM,agg2,HC,SAM
2018-01-17,GL,SAM,agg2,OI,SAM
2018-01-18,GV,SAM,agg2,HT,SAM
2018-01-18,GV,SAM,agg3,HT,SAM
2018-01-18,HS,SAM,agg2,PA,SAM
2018-01-18,PA,SAM,agg2,HS,SAM
2018-01-20,WR,SAM,agg2,OI,SAM
2018-01-22,GL,SAM,agg2,HT,SAM
2018-01-22,GV,SAM,agg1,NI,SAM
2018-01-22,HC,SAM,fd,GV,SAM
2018-01-22,HD,SAM,agg2,NI,SAM
2018-01-22,JO,SAM,agg2,NQ,AM
2018-01-22,OI,SAM,agg2,IR,SAM
2018-01-22,OI,SAM,agg2,YR,SAM
2018-01-22,PA,SAM,agg3,OI,SAM
2018-01-23,PA,SAM,agg2,WQ,SAM
2018-01-24,PA,SAM,agg1,HD,SAM
2018-01-24,WR,SAM,agg3,NQ,AM
2018-01-25,HD,SAM,agg2,WO,SAM
2018-01-25,IY,SAM,agg2,HS,SAM
2018-01-25,WO,SAM,agg2,HD,SAM
2018-01-25,WQ,SAM,agg2,NQ,AM
2018-01-25,WR,SAM,agg2,NQ,AM
2018-01-26,EQ,SAM,agg2,WO,SAM
2018-01-26,NI,SAM,agg2,HD,SAM
2018-01-27,HC,SAM,fd,WR,SAM
2018-01-29,EQ,SAM,agg2,FD,SAM
2018-01-29,IY,SAM,agg2,PA,SAM
2018-01-30,GV,SAM,agg2,HC,SAM
2018-01-30,MA,SAM,agg2,HT,SAM
2018-01-30,PU,AM,agg3,GV,SAM
2018-01-30,ZP,SAM,agg2,IY,SAM
2018-02-01,GV,SAM,agg2,OI,SAM
2018-02-01,NQ,AM,agg2,GV,SAM
2018-02-01,NW,AM,agg2,GV,SAM
2018-02-01,PA,SAM,agg2,OI,SAM
2018-02-01,WC,AM,agg2,GV,SAM
2018-02-01,WO,SAM,agg3,GV,SAM
2018-02-02,HC,SAM,agg2,GV,SAM
2018-02-02,HC,SAM,agg3,GV,SAM
2018-02-02,HJ,AM,agg1,HD,SAM
2018-02-02,PU,AM,agg2,OI,SAM
2018-02-05,IY,SAM,agg2,HS,SAM
2018-02-05,WC,AM,agg2,HD,SAM
2018-02-05,WQ,SAM,agg2,HD,SAM
2018-02-06,AR,SAM,agg2,IY,SAM
2018-02-06,BS,SAM,agg1,HD,SAM
2018-02-06,IY,SAM,agg3,AR,SAM
2018-02-06,JO,SAM,agg2,HS,SAM
2018-02-09,AR,SAM,agg2,HD,SAM
2018-02-09,PA,SAM,agg1,HD,SAM
2018-02-10,CE,AM,fd,HT,SAM
2018-02-10,IY,SAM,agg2,NI,SAM
2018-02-10,PA,SAM,agg3,NI,SAM
2018-02-12,AR,SAM,agg3,JO,SAM
2018-02-12,NW,AM,agg2,HJ,AM
2018-02-12,WC,AM,agg2,WR,SAM
2018-02-15,HS,SAM,agg2,AR,SAM
2018-02-15,WY,SAM,agg2,NI,SAM
2018-02-16,YR,SAM,agg1,HD,SAM
2018-02-17,WC,AM,agg2,HD,SAM
2018-02-17,ZP,SAM,agg2,HD,SAM
2018-02-20,GV,SAM,agg2,HD,SAM
2018-02-20,PA,SAM,fd,ZP,SAM
2018-02-20,WQ,SAM,fd,WY,SAM
2018-02-20,YO,AM,agg2,NI,SAM
2018-02-22,HC,SAM,agg2,OI,SAM
2018-02-22,WY,SAM,agg2,WC,AM
2018-02-23,HJ,AM,agg2,GV,SAM
2018-02-24,WO,SAM,agg2,OI,SAM
2018-02-26,HS,SAM,agg2,JO,SAM
2018-02-26,NI,SAM,agg2,JO,SAM
2018-02-27,IY,SAM,agg2,AR,SAM
2018-02-27,IY,SAM,agg2,PA,SAM
2018-02-27,IY,SAM,agg2,WY,SAM
2018-02-27,NI,SAM,agg2,HD,SAM
2018-02-27,NW,AM,fd,HD,SAM
2018-02-28,NW,AM,agg2,NI,SAM
2018-02-28,NW,AM,agg3,NI,SAM
2018-03-01,PA,SAM,agg2,WY,SAM
2018-03-01,PA,SAM,agg3,WY,SAM
2018-03-02,JO,SAM,agg2,HD,SAM
2018-03-02,NW,AM,agg2,GV,SAM
2018-03-02,NW,AM,agg3,GV,SAM
2018-03-03,IY,SAM,agg2,WO,SAM
