Current_troop,NAME,ID,Gender,Birth_date,Stop_date
NMU,ALANIS,AF,F,2013-07-10,
NMU,ABDULLA,AH2,M,2019-09-03,
NMU,AKIKA,AK2,F,2021-08-21,
NMU,ANJALI,AL,F,2010-01-28,
NMU,ANABELLE,AL2,F,2018-04-05,
NMU,ANT,AN2,M,2016-08-21,
NMU,ALISTAIR,AR,M,2011-03-15,2019-02-01
NMU,ATLAS,AT2,M,2021-05-26,
NMU,AUDREY,AU2,F,2019-03-18,2019-04-18
NMU,AVA,AV2,F,,
NMU,ANOUK,AX,F,1997-05-15,2019-06-17
NMU,AZIZI,AZ2,F,2017-10-04,
NMU,BRUCE,BC2,M,2019-01-28,
NMU,BETHANY,BH,F,,2022-09-12
NMU,BIANCA,BK,F,2020-09-03,
NMU,BLOSSOM,BM,F,,2019-10-18
NMU,BISCUIT,BQ,F,2016-04-18,
NMU,BOGART2,BR2,M,2022-11-07,
NMU,BOURSIN,BS,M,2011-05-01,2019-05-20
NMU,BEAU,BU2,M,2022-03-14,2022-09-12
NMU,BALEXA,BX,M,2017-09-25,
NMU,BLAZE,BZ,M,2014-09-17,
NMU,CRACKER,CA,M,2012-02-15,
NMU,CAESAR,CA2,M,2019-02-01,
NMU,CASSY,CC,F,2013-09-23,
NMU,CHENEY,CE,M,,2019-06-17
NMU,COFFEE,CF,F,2015-05-22,
NMU,CALVIN,CF2,M,2021-04-20,
NMU,COGSWORTH,CG,M,2015-12-21,2019-08-02
NMU,CAMBRIDGE,CJ2,M,2020-10-18,2021-09-10
NMU,CACTUS,CK2,F,2022-06-17,
NMU,CAMERON,CM2,M,2021-09-17,
NMU,CARDIO,CO2,M,2017-12-01,2022-10-25
NMU,CUCUMBER,CQ,M,2016-09-17,
NMU,CHEDDAR,CR,F,2011-04-28,
NMU,CAROLINE,CR2,F,,
NMU,CLAY,CU,M,2013-10-21,2019-07-17
NMU,CUTIE,CU2,F,2017-08-25,
NMU,CLOVER,CV2,F,2018-02-16,
NMU,CAPRICE,CW2,F,2020-12-07,
NMU,CHERRY,CY2,F,2019-08-28,
NMU,DARLING,DA2,F,2018-05-28,
NMU,DIABLO,DB2,M,2021-03-27,2021-05-17
NMU,DOC,DC,M,2012-09-20,
NMU,DELPHI,DF2,F,2022-04-29,
NMU,DINGO,DG,M,2011-05-02,
NMU,DHARMA,DH2,F,2021-03-23,
NMU,DOLPHIN,DL2,F,2016-10-17,
NMU,DIANI,DO,F,2013-09-04,
NMU,DOMINIQUE,DQ2,F,2019-10-01,
NMU,DIVERSITY,DR2,F,2021-05-10,
NMU,DESSIE,DS,F,2013-12-05,
NMU,DAUNTLESS,DS2,F,2017-11-01,
NMU,DAKOTA,DT2,F,2019-08-29,
NMU,DANIA,DU,F,2008-02-25,
NMU,DARWIN,DW,M,,2022-08-08
NMU,DARLA,DZ,F,2001-01-31,
NMU,ELIZA,EA,F,2011-08-10,
NMU,EDGAR,ED2,M,2021-07-21,
NMU,EMMANUEL,EM2,M,2020-04-29,
NMU,ELOISE,EO2,F,2022-03-04,
NMU,EQUATOR,EQ,M,,
NMU,EVERETT,ET2,M,2018-03-14,
NMU,EUNICE,EU2,F,2019-11-04,
NMU,EVELYN,EV,F,2012-12-01,
NMU,EX,EX,M,2017-01-31,
NMU,EMILY,EY,F,2010-04-26,
NMU,EZEKIEL,EZ,M,,2021-01-15
NMU,FALCON,FA,M,2014-05-28,2019-08-02
NMU,FAVORITE,FC2,F,2022-03-19,
NMU,FREDDIE,FD,M,2010-08-27,
NMU,FIREFLY,FF,F,2018-02-25,
NMU,FIG,FG,F,2015-11-03,
NMU,FLOYD,FM,M,2019-12-27,
NMU,FERMI,FM2,M,2020-06-23,
NMU,FENNEL,FN2,M,2018-12-13,
NMU,FLORA,FO,F,2018-07-17,
NMU,FELIPE,FP,M,,
NMU,FAIRLY,FQ,F,2021-09-13,2022-04-29
NMU,FERGUSON,FS,M,2022-02-02,
NMU,FRANCINE,FU,F,2017-07-08,
NMU,FELIX,FX,M,2022-11-10,
NMU,GARFIELD,GL,M,2011-10-21,2019-05-20
NMU,GOA,GV,M,,
NMU,HARMONY,HA,F,2008-06-20,
NMU,HICCUP,HC,M,2011-04-07,2021-12-09
NMU,HAMID,HD,M,2009-08-01,
NMU,HALL,HJ,M,2000-03-17,2022-05-17
NMU,HILDI,HL,F,2005-03-07,
NMU,HERSHEY,HS,M,,
NMU,HARRISON,HT,M,2003-08-01,2019-04-26
NMU,HOLLY,HV,F,1998-05-02,2017-08-14
NMU,ISLA,IA2,F,2018-11-03,
NMU,IDONY,ID2,F,2019-05-06,2020-02-24
NMU,INEZ,IE,F,2008-07-18,
NMU,IFFY,IF,F,2012-04-17,
NMU,IDGY,IG,F,2005-05-01,2022-07-12
NMU,IONI,II,F,2012-08-10,2020-04-29
NMU,INIGO,IJ,M,2022-02-16,
NMU,IMBA,IM,F,2011-08-12,2017-01-31
NMU,INN,IQ,F,2001-06-30,
NMU,IGOR,IR,M,2010-06-11,2020-04-29
NMU,IDRIS,IW,M,2016-09-05,
NMU,IXORA,IX,F,2020-07-17,
NMU,ICKY,IY,M,2011-01-08,2021-04-08
NMU,JACOB,JB2,M,2019-06-29,
NMU,JACINTA,JC3,F,2020-04-09,
NMU,JEERA,JE2,F,2017-08-23,
NMU,JAFAR,JF2,M,2019-02-16,2019-04-03
NMU,JUBILEE,JG2,F,2019-03-30,
NMU,JILLi,JILLi,Unknown,2018-06-08,2018-06-08
NMU,JOJO,JJ2,F,2021-08-13,
NMU,JILL,JL,F,2010-08-31,
NMU,JAMIE,JM,F,2012-09-04,
NMU,JONAS,JO,M,2008-07-26,2019-08-28
NMU,JIGGLY,JP2,F,2016-09-06,2022-01-13
NMU,JORA,JR,F,2014-08-21,
NMU,JERRI,JR2,F,2017-12-14,
NMU,JUNO,JU2,F,2021-10-10,2021-11-18
NMU,JOVE,JV,M,2016-08-01,
NMU,KOBE,KB2,M,2018-12-18,
NMU,KACEY,KC,F,2012-02-28,
NMU,KAISER,KI2,M,2021-04-07,
NMU,KAJAL,KJ,F,2017-10-18,
NMU,KALA,KL2,F,2019-02-09,
NMU,KHALID,KQ,M,2013-10-10,
NMU,KESTREL,KS,M,2016-03-10,
NMU,KATRINA,KT,F,2005-02-05,
NMU,LAZER,LB2,M,2022-08-07,
NMU,LAUNDRY,LD2,F,2021-09-01,2021-12-09
NMU,LOGAN,LH,F,2018-06-20,
NMU,LYLA,LQ,F,2014-04-26,
NMU,LAUREL,LR2,F,2019-11-14,
NMU,LAVERNE,LT,F,2017-01-23,
NMU,LOURDES,LU2,F,2021-08-16,
NMU,LAVINIA,LV,F,2015-10-26,
NMU,LEWIS,LW,M,2015-09-22,
NMU,MATT,MA,M,2010-12-08,2019-04-25
NMU,MIRACLE,MC,F,1989-12-15,2017-01-31
NMU,MEDIBA,MD,M,2009-01-31,2017-01-31
NMU,MANFRED,MD2,M,2017-07-13,
NMU,MALIA,MF,F,2013-10-24,2020-09-02
NMU,MINGUS,MG2,F,2017-08-07,
NMU,MAASAI,MI2,F,2019-09-12,
NMU,MARISSA,MJ2,F,2019-02-21,
NMU,MELANIE,ML,F,2005-12-05,2019-10-14
NMU,MARTA,MR,F,2011-01-08,
NMU,MOSS,MS2,M,2019-01-30,
NMU,MVUA,MV,F,2008-01-11,
NMU,MARVIN,MV2,M,2021-09-01,
NMU,MILLENIUM,MZ,F,2000-03-25,2022-09-12
NMU,NEW MALE,NEWMALE,M,,2018-11-10
NMU,NAPIER,NI,M,,2018-11-02
NMU,NAPOLEON,NP,M,,2019-03-04
NMU,NYQUIL,NQ,M,,2019-02-11
NMU,NARWHAL,NW,M,,2020-04-15
NMU,NAZIR,NZ,M,,2018-02-21
NMU,ORI,OI,M,,
NMU,PANEER,PA,M,2011-04-15,2019-05-30
NMU,PAEDER,PB,M,2013-10-22,
NMU,PEABODY,PB2,M,2022-08-22,
NMU,PICO,PC2,M,2019-02-25,
NMU,PADFOOT,PF,M,2016-05-16,
NMU,PEONY,PF2,F,2020-11-02,
NMU,PONGO,PG,M,2015-08-11,
NMU,PEDRO,PJ,M,2019-10-14,
NMU,PAMOJA,PJ2,F,2021-12-09,
NMU,PIMENTO,PM,M,2016-06-09,
NMU,PIPPIN,PP,M,2012-08-28,2017-01-23
NMU,PANDORA,PQ,F,2018-02-24,
NMU,PRONGS,PS,M,2017-10-09,
NMU,PAUL,PU,M,,2020-05-05
NMU,PAW,PW,M,2020-07-17,
NMU,POPPY,PY,F,2013-11-28,
NMU,PRETZEL,PZ,M,2017-02-19,2022-08-14
NMU,QUARIDA,QA,F,2019-09-24,
NMU,QUIBBLE,QB,F,2012-06-05,2022-09-12
NMU,QUICHE,QE,F,2011-02-23,
NMU,QUIGGLE,QG,M,2022-09-07,
NMU,QUINTUS,QI,M,2015-05-22,
NMU,QUESO,QS,M,2013-12-21,
NMU,QUALITY,QT,M,2018-01-29,2022-07-10
NMU,ROBINHOOD,RD,M,2016-05-18,2022-08-11
NMU,RHEA,RH,F,2005-04-02,2017-04-27
NMU,RIKON,RK,M,2014-08-25,
NMU,ROLO,RO,M,2009-09-18,2017-04-15
NMU,RITA,RT,F,,2021-10-18
NMU,SAM3,SAM3,M,,2019-08-28
NMU,SHORTY,SH2,M,2022-02-13,
NMU,SUNNY,SN,M,2020-01-30,
NMU,SPARROW,SR,F,2012-02-25,
NMU,STAN,SS,M,2013-06-24,2019-05-11
NMU,STORM,ST,M,2010-07-23,2019-03-27
NMU,SOZ,SZ,M,2018-07-04,2021-06-14
NMU,TUMIA,TB,F,2002-07-25,2018-12-13
NMU,TERI,TE,F,2005-11-25,
NMU,TARGET,TG2,M,2021-02-05,
NMU,TAHINI,TI2,F,2019-06-02,2020-09-03
NMU,TARA,TL,F,2004-02-06,
NMU,TINY,TN,F,2012-08-31,2019-03-20
NMU,TONI,TO,F,2002-12-26,
NMU,TRENT,TP2,M,2019-01-31,
NMU,TUBS,TS2,F,2017-03-15,
